Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2010-09-15,274.1080017089844,274.74997408927396,266.5793049251812,267.1180303645719,14344648
2010-09-16,266.3053894042969,272.24035544748807,265.61402962784143,272.24035544748807,7088984
2010-09-17,266.68255615234375,270.48506870814373,265.71733972458856,266.3054527228681,8616488
2010-09-20,270.13482666015625,270.97882084609984,267.11795626810704,267.11795626810704,5025976
2010-09-21,274.67364501953125,275.1989110896023,269.0574498681879,270.70953244213734,9223912
2010-09-22,270.6466064453125,275.0102680631587,268.86431487471697,274.7947867193593,10806440
2010-09-23,271.4188537597656,272.4828452999112,266.9429562645119,269.8161586863249,11181376
2010-09-24,273.7713623046875,274.6333100567204,268.792622668546,271.4189097994826,8791520
2010-09-27,272.2896728515625,274.7498424107175,271.45913819721636,274.30090475971963,7210320
2010-09-28,270.8531799316406,271.8857369389927,269.45248513595914,271.60738671651995,6209144
2010-09-29,272.1506042480469,276.45591362099356,269.59615239884477,271.69717265902125,8972920
2010-09-30,273.8970031738281,276.0967988065961,270.03164360637675,273.57825289185985,13665816
2010-10-01,278.53448486328125,279.24381977637086,271.72411123821297,273.9418597005322,8086512
2010-10-04,276.40655517578125,283.90831143222425,274.9789415052084,279.4189326935743,7636640
2010-10-05,276.9676818847656,279.3290990963861,275.64780913722444,276.0967469371222,5189152
2010-10-06,278.68267822265625,280.3976077437781,276.2404605794915,278.88020650247205,5788528
2010-10-07,274.1618347167969,278.116981321197,273.1337714863862,277.35378702217196,6833672
2010-10-08,276.2134704589844,277.05297097806334,272.6893087896293,274.74992887201125,6548160
2010-10-11,276.04736328125,278.0720771714516,274.62871542944276,276.5726292828416,4493832
2010-10-12,276.1146545410156,276.99008310648145,273.8789534344487,275.82733878061,4625624
2010-10-13,283.08673095703125,284.15968796658177,276.1147134345563,276.6354856918119,13024504
2010-10-14,285.9957580566406,289.9194691193323,283.38742566948673,284.1865479175407,9193376
2010-10-15,276.2134704589844,290.7321142769845,274.85317579591816,287.32018705569806,25870360
2010-10-18,278.97442626953125,280.0383956404612,272.8913194374127,276.5905623076206,12591096
2010-10-19,270.2785339355469,278.7948935641472,269.4524926906638,277.86558346315803,14077712
2010-10-20,271.0326843261719,273.36716042916805,268.46475184456136,270.24254956869277,7093856
2010-10-21,273.3613586425781,273.7171938141217,268.46519952375047,270.06422544079743,9231920
2010-10-22,275.0460510253906,277.9062814101983,270.5282471048007,270.7309405966375,11345744
2010-10-25,271.9831848144531,277.0054801770102,271.1679239693575,275.5551085241067,5224432
2010-10-26,271.5056457519531,274.1586735241378,270.50117385608036,272.05966574400577,6925872
2010-10-27,268.4742126464844,271.15877904371945,267.30309499612946,270.43809125888566,9072696
2010-10-28,267.63201904296875,273.22183810615155,265.57805371265357,268.81664122139915,18232152
2010-10-29,267.7085876464844,270.0778540739494,265.21320960430523,269.2670799956754,6886024
2010-11-01,270.4066162109375,273.1362262391563,268.7265212133496,268.7265212133496,4552944
2010-11-02,272.69488525390625,273.1948670526628,268.8887509924533,270.4382261037099,4998504
2010-11-03,272.4516906738281,274.289436868438,271.61388620518034,273.1363312982089,3047536
2010-11-04,277.2080383300781,277.9152220036233,273.2262427895657,274.22169717310516,5514792
2010-11-08,271.69036865234375,277.8252342767329,270.8660905193147,277.8252342767329,5381520
2010-11-09,275.6451416015625,277.0144443750274,272.9605744573441,273.5731636436355,5266960
2010-11-10,277.70361328125,279.71704428151065,272.96961133446797,274.582142019338,9728432
2010-11-11,275.1811218261719,277.8251540580023,274.8523168064089,277.8251540580023,5586392
2010-11-12,270.06427001953125,273.7487778870095,269.26700028112595,273.6812134004887,7499456
2010-11-15,272.9650573730469,274.3073298215457,268.2400516140227,270.52822695396895,5850488
2010-11-16,267.6410217285156,271.9696588223151,264.8753856748301,271.3390567647609,8375136
2010-11-18,270.61383056640625,273.1272431186211,266.53293043907826,269.267049288701,7128224
2010-11-19,266.9969177246094,271.0417707290006,265.30329635761933,269.13646043717085,5664792
2010-11-22,274.19482421875,276.3839189796739,267.6771136410923,267.6771136410923,8780144
2010-11-23,271.3480224609375,275.55503384458,268.4517446522575,272.77136352472155,4579872
2010-11-24,269.8887023925781,273.40205722298356,265.77628431804095,272.4111109887666,4038888
2010-11-25,276.0550537109375,280.25755697809467,270.75799230471347,270.75799230471347,18331976
2010-11-26,274.046142578125,279.62696632495835,272.6858350720594,276.56404208041954,9515792
2010-11-29,276.0189514160156,278.87467276324367,274.86584640062154,276.1135460997062,4964328
2010-11-30,274.85235595703125,277.7080774461537,271.35701514036197,274.17671103088315,9072544
2010-12-01,274.978515625,276.24873710571296,273.4110279197257,274.74430520584093,4624096
2010-12-02,279.1314697265625,280.11339832462187,273.14075075389303,275.3028147440294,7197360
2010-12-03,281.51873779296875,283.58169830605505,279.53684587890626,279.89718986328126,6647816
2010-12-06,283.1763000488281,286.1491378015569,281.60881257666773,281.96915654669544,6023648
2010-12-07,286.3474426269531,287.8248446124773,282.8881261340074,283.3971253621461,6085496
2010-12-08,282.07275390625,285.04110503073264,280.5277878924211,284.5816576596526,6951112
2010-12-09,283.9015197753906,286.66266886646747,282.9736295783789,283.3204694751974,7931128
2010-12-10,283.2528381347656,284.8518642544737,280.8700684001836,283.32040261869696,6125120
2010-12-13,283.3475036621094,284.3474450781403,277.01445338596955,283.68081746745304,6849080
2010-12-14,284.5501403808594,285.9329693039714,281.6809144238275,285.0050790880288,3933584
2010-12-15,288.58599853515625,289.08598024468705,283.4736179247212,283.4736179247212,8254392
2010-12-16,296.6802062988281,297.2837780555441,289.17603865402924,290.0228381940605,8509144
2010-12-20,301.7835693359375,303.03126914258456,292.95965067691736,292.968668073722,11346320
2010-12-21,299.91876220703125,303.553740458588,298.27920169709745,301.83759806480117,8059840
2010-12-22,300.2115783691406,302.66191303466866,298.5224659627126,299.5359334065694,5927280
2010-12-23,303.4006652832031,303.7700267228845,299.91884978266995,301.24761843455684,6231504
2010-12-24,303.603271484375,304.6527863986726,301.0718685192895,301.51778974327544,3620064
2010-12-27,304.21136474609375,305.5536591664236,302.41866237842675,302.41866237842675,3691760
2010-12-28,304.7294006347656,305.38703283680275,303.0042625235523,303.67990752694953,2554440
2010-12-29,306.7337951660156,307.6436725117539,303.6889061340266,304.5807486858682,3802920
2010-12-30,310.5219421386719,311.1570528554775,306.47258072215817,307.19326874266886,8991688
2010-12-31,310.1435546875,310.88676413522984,306.7563125282649,309.26521624927386,5859728
2011-01-03,311.5489501953125,312.5714131755816,308.7878008926404,310.25620720117934,5048544
2011-01-04,313.6299133300781,315.2109270944871,311.4273149373083,311.4273149373083,8119288
2011-01-05,311.66156005859375,313.22904779019433,310.35531295104187,312.1480157011859,3523160
2011-01-06,313.3325500488281,314.6703356813483,310.265139951233,313.4992179132815,4691840
